vc,owner,managed_by_csa,env_name,server_group_name,vm_id,uuid,name,overall_status,ip_address,mac_address,datacenter,cluster_compute_resource,resource_pool
AO,,N,,,vm-23147,4224e1a1-33e9-99fa-ef80-87c1cd4a53ba,CSA32OO10_Email,null,n/a,00:50:56:a4:57:b4,MiniLIT-Unit,Cloud-001,CSL-RP-TEST
AO,,N,,,vm-21759,4224efc7-17da-5022-2acd-632a25b87df3,CSA32-OO10-001,null,16.78.122.166,00:50:56:a4:64:db,MiniLIT-Unit,Cloud-001,CSL-RP-TEST
AO,,N,,,vm-19819,4224fe8c-a1c2-8bad-172d-dac4be6e8038,CSA32-OO10-AJ,null,16.78.124.137,00:50:56:a4:78:d9,MiniLIT-Unit,Cloud-001,
AO,,N,,,vm-22932,4224ce80-6382-6cbc-94fe-3cc06ecb110a,CSA32OO10MR,null,n/a,00:50:56:a4:52:68,MiniLIT-Unit,Cloud-001,
cdl,,N,,,vm-531,421fbb99-bc17-4d9e-df47-b0364412506e,CSA32-OO10-rename,null,n/a,00:50:56:9f:77:fd,CSL,CSL-Lab1,
AO,,N,,,vm-19250,4224e694-c4da-261e-1c59-8075fd8f3126,CSA32-OO10-Template,null,16.78.124.146,00:50:56:a4:25:09,MiniLIT-Unit,Cloud-001,
cdl,,N,,,vm-22335,421b07d9-1d61-6407-713a-e6dcf0233413,CSA32OO907,null,10.1.7.123,00:50:56:9b:47:c2,CSL-Cluster,CSL,
cdl,,N,,,vm-611,421f5523-6b3b-e868-e670-0d71903227ea,CSA32-OO907,null,n/a,00:50:56:9f:6b:ce,CSL,CSL-Lab1,
JJ,,N,,,vm-7091,4204761d-ee65-8000-3608-09ee3e89f673,CSA32-OO907,null,169.254.20.41,00:50:56:84:25:7f,CSL-JJ,C2,CSL-OVDC1 (fba45087-ddf8-4da9-88da-3d7dd323f22a)
cdl,,N,,,vm-22406,421bd445-c158-ad18-8729-4a41984177a1,CSA32OO907-TEST,null,n/a,n/a,CSL-Cluster,CSL,
JJ,,N,,,vm-6000,420437aa-01b2-af5b-d0ee-cfc772acbcb6,CSA32-OO97003-S3,null,16.77.19.86,00:50:56:84:67:df,CSL-JJ,C2,
cdl,,N,,,vm-671,421f0a32-7061-31df-bde4-bac2fa7b51ab,CSA32-WAS8-Validate,null,n/a,00:50:56:9f:27:5f,CSL,CSL-Lab1,
AO,,N,,,vm-24695,42245e8a-5ccb-36d2-e3a0-61322f02dc21,CSA4.0_OO10.02,null,169.254.243.186,00:50:56:a4:05:fd,MiniLIT-Unit,Cloud-001,
AO,,N,,,vm-24696,4224fe27-74b8-06b1-f607-ef9339bc4087,CSA4.0_OO10.02_2,null,169.254.145.134,00:50:56:a4:06:74,MiniLIT-Unit,Cloud-001,
cdl,,N,,,vm-541,421f678b-b497-14bd-f588-9c24c264f0fa,CSA4.0+OO10.01.001,null,10.1.6.50,00:50:56:9f:3c:92,CSL,CSL-Lab1,
